,link,saleprice,address,description,added_date,agent,property_type,bedrooms,bathrooms,distance_to_station,tenure,leasehold_years_left,postcode,borough,crime_rate,total_area,year_built,property_condition,amenities_rating,garden,balcony,fuel_type,sold_date,sold_under_90days
10,https://www.rightmove.co.uk/properties/84781420,,,"A stunning, rarely available, fully extended, three double bedroom Victorian family home positioned at the top of this sought after road moments from South Park Gardens, Holy Trinity School and Wimbledon town centre. This beautifully presented home has been cleverly extended on the ground floor which allows lots of light and a great sense of space. There is a w/c, cosy front reception with log burner and doors that open into the wonderful kitchen/dining area. The bi-fold doors open out to a mature landscaped garden with a useful cabin at the rear which could be used a home office.  Upstairs are two double bedrooms, modern family bathroom and office space whilst the master with en-suite is in the converted loft.",,"Ellisons, Wimbledon",House,3,2,,,,,,,,1968,,,FALSE,TRUE,,16/10/2020,
11,https://www.rightmove.co.uk/properties/100960988,599950,"Strathleven Road, SW2","Keating Estates are proud to bring to market this exciting opportunity to stamp your own mark on a charming two double bedroom apartment, on the ground floor of a handsome terraced Victorian conversion, in the popular residential pocket equidistant between Clapham and Brixton.Full Description - This ideally situated, split-level, two double bedroom apartment brings an exciting opportunity to stamp your own mark in the highly sought after residential pocket that sits equidistant from central Brixton and Clapham High Street. The property has been recently decorated throughout and well-maintained. Both bedrooms are large doubles of a similar size, one of which resides on the ground floor overlooking the private garden, the second on the first floor next to a modern family bathroom. This is ideal for anyone looking to rent out a spare room or share with friends as the split level provides coveted privacy that isn’t provided in many Victorian conversions of a similar size. A handsome reception room occupies the front of the property, with plenty of space to dine, entertain or unwind, with a large bay window, generously feeding the large room with natural light, whilst overlooking the sleepy residential street on which this property resides. There is also a contemporary, integrated kitchen on the ground floor which opens out to the charming private garden, the ideal low-maintenance space for any green-thumbed purchasers, or those who just wish to have their own private spot to enjoy the outdoors. This handsome Victorian terrace is nestled within a popular pocket of SW2, sandwiched between Brixton and Clapham. The cafes, bars and restaurants of up-and-coming Acre Lane are at the end of the road, with local heroes such as Boqueria Tapas, The Beast of Brixton, and Aries Bakehouse, to name a few, all on the doorstep. Within a further few minutes’ walk down the road, purchasers will find themselves in the heart of Brixton, with Brixton Village, POP Brixton, The Ritzy cinema and the legendary music venues, Brixton Academy and Brixton Electric, all at their fingertips. In the other direction, is vibrant and bustling Clapham High Street offering cracking nightlife, culinary delights and the green open spaces of Clapham Common. A short 10-minute stroll brings you to Abbeville Village with an abundance of local shops including The Ginger Pig butchers, MacFarlanes Dairy and the charming pub, The Abbeville. Potential purchasers will benefit from the Northern Line (Clapham North and Clapham Common tube stations) and the Victoria Line (Brixton tube station).Chain-free.",12/11/2020,"Keating Estates, Brixton",Flat,2,1,0.5 miles,,,SW2,Lambeth,103,1498.771032446851,1996,7,8,FALSE,TRUE,electric,27/01/2021,TRUE
12,https://www.rightmove.co.uk/properties/84830893,899000,"Canonbury Square, London, N1","VIRTUAL TOUR AVAILABLE A fantastic two-three basement flat situated in a period conversion on Canonbury Square. The flat comprises a spacious reception room with original fireplace, large kitchen/dining area which leads into a separate bedroom/study area, two double bedrooms and access to a generous private section of the rear garden. The property further benefits from its own private entrance, a large storage area and four additional vaults.Located in the heart of Canonbury, the property is in the catchment area of some fantastic local schools. Highbury & Islington Station (Victoria Line, London Overground and National Rail) with its excellent connection to the City is within an 8-minute walk which is ideal for commuters.You can also find the brilliant range of boutique shops, cafes and restaurants of Upper Street at a short walking distance.Share of Freehold",22/10/2020,"Alwyne Estate Agents, London",Flat,3,1,0.2 miles,Share of freehold,,N1,Islington,116,1813.7999412479528,1958,6,7,FALSE,TRUE,electric,16/12/2020,TRUE
13,https://www.rightmove.co.uk/properties/74515455,845000,"St Edmund's Court, London, NW8 ","A beautifully refurbished two bedroom apartment (786 sq ft / 73 sq m) situated on the lower ground of this smart purpose built block in this prime St John's Wood location moments from Primrose Hill park. This exceptionally bright apartment has been extensively refurbished and includes hardwood parquet flooring, a bespoke kitchen with Miele appliances as well as a beautifully finished bathroom with marble tiles. Benefits include direct views over the lovely communal garden. St Edmund's Court benefits from porterage, passenger lift and is located just moments from the open acres of Regent's Park and Primrose Hill, as well as St John's Wood High Street and underground station.",07/01/2021,"Hanover, St John's Wood ",Flat,2,1,0.5 miles,Share of freehold,,NW8,Westminster,298,1015.3596777551987,1978,6,3,FALSE,FALSE,electric,,FALSE
14,https://www.rightmove.co.uk/properties/86447587,485000,"Tasman House, Clegg Street, Wapping, E1W","A bright and spacious 3-bedroom apartment on the 2nd floor of this charming Wapping mansion block.  Tasman House offers a great 'urban village' location with local amenities just 2 mins walk for the station, shops, cafes, park etc.   Close enough to the City for when you have to go into the office but away from the traffic and noise.  Plenty of space to stretch out when working from home and the option of a dedicated office whilst also maintaining a second bedroom.Real wood flooring, large double-glazed windows, gas central heating and the shared use of a rather large external storage room, located on the same floor, are just some of the highlights of this rather lovely and versatile apartment.  Take a look at the video walk-through and then get in touch to book a physical viewing.",05/11/2020,"Property Liaisons, Wapping",Flat,3,1,0.1 miles,Leasehold,93,E1W,Tower Hamlets,100,1279.0167826590166,1923,7,6,FALSE,TRUE,electric,24/11/2020,TRUE
15,https://www.rightmove.co.uk/properties/86540852,1095000,"Portsea Place, Hyde Park, London, W2","This 2nd floor, two bedroom apartment is located in Portsea Hall, an art deco purpose built block with 24 hour concierge with lift a short walk to Marble Arch and Hyde Park. The accommodation comprises of a large, bright reception room benefitting from balcony with south westerly views over Portsea Place, two double bedrooms, separate kitchen, bathroom and cloakroom. The apartment would make an ideal pied a terre or rental investment. Long Leasehold.",12/11/2019,"Pastor Real Estate , Mayfair",Flat,2,1,0.3 miles,Leasehold,,W2,Westminster,298,1596.165947,1996,6,6,FALSE,FALSE,electric,03/12/2019,TRUE
16,https://www.rightmove.co.uk/properties/88092937,850000,"Frognal, Hampstead, London, NW3","Refurbished to a high standard, this exquisite 2 bedroom flat is set on the raised ground floor of this attractive red brick conversion. It offers sleek, modern interiors with wooden flooring and a private terrace.Frognal is located within easy reach of the amenities, cafes and boutiques of Hampstead Village, and a short distance from Hampstead Underground and the numerous transport links on Finchley Road.",05/01/2021,"Foxtons, Hampstead",Flat,2,1,0.1 miles,Share of freehold,,NW3,Camden,132,1529.3475026477026,1974,8,7,FALSE,FALSE,electric,15/01/2021,TRUE
17,https://www.rightmove.co.uk/properties/88102201,1350000,"Avenue Gardens, Mill Hill Conservation Area, London, W3","An impressive Edwardian five bedroom family home in the popular Mill Hill Conservation Area. The property measures 2449 Sq' - 227 SqM and is perfectly located close to green open spaces and the fantastic variety of shops and cafes along Acton's vibrant High Street and Chiswick High Road, Avenue Gardens offers convenience in a quiet suburb.Presented in immaculate condition this superb property boasts gorgeous period features with a fresh contemporary feel. The ground floor is comprised of a front reception room with high ceilings and a stunning feature fireplace, a large hallway with tiled fireplace leading to a second reception room with doors for access to the garden. There is also a utility room and downstairs toilet. The open plan kitchen and family room is stylishly designed with a high quality kitchen. The skylights and double doors flood the room with natural light and lead out onto a 87' garden with patio seating area. The front provides a useful off street park on the private driveway.The first floor has four bedrooms and a family bathroom with bath plus separate shower cubicle. There is a double bedroom with a bay window to the front and cleverly designed fitted wardrobes to maximize storage, a second double with fitted wardrobes. There are two further double bedrooms with fitted wardrobes. On the top floor there is a spacious, tranquil master bedroom suite with shower room with storage in the loft eaves.Despite the tranquil atmosphere typical of a suburban residential area, this property is close to many transport routes including the future Cross Rail. Avenue Gardens is a 5 minute walk from Acton Town underground, (One stop to Chiswick, Hammersmith and Ealing Stations). It is also conveniently located just off Gunnersbury Lane, allowing for easy access to the M4 and A40 motorways. The future Cross Rail at Acton Main Line Station is less than a mile and easy to connect at Ealing Broadway Station.",05/01/2021,"Horton and Garton, Hammersmith and Shepherd's Bush",House,5,2,0.3 miles,Freehold,,W3,Ealing,85,2426.1686548864427,1968,9,8,FALSE,FALSE,electric,13/04/2021,FALSE
18,https://www.rightmove.co.uk/properties/75778122,280000,"Marlow Road, London","Offered to the market with no onward chain and a share of the freehold is this fantastic one bedroom ground floor maisonette. The property is positioned just a stone's throw away from the hustle and bustle of Anerley High street, Beckenham High street and the famous Crystal Palace Triangle with an array of shops, restaurants, bars, boutiques and leisure facilities as well as being 0.3 miles from Birkbeck station, 0.6 miles from Anerley station, 0.7 miles from Elmers End station, and 0.8 miles from Kent House station, all giving commuters flexible access into Central London (distances estimated via Google Maps). There are also a number of bus routes within close proximity.Upon entering through your own front door, buyers will find; open plan kitchen/reception room, bathroom and double bedroom. This property benefits from off street parking for one car and has access to a patio garden with sole use.  This property is an absolute must see to truly appreciate all that is has to offer. It would make an ideal first time buy or investment.Safeguarding Your InformationImportant information regarding cybercrime. It has come to our attention that computer hackers are seeking to target property transactions to access funds. As we understand it, they will either hack a phone, tablet, or PC, maybe by sending out a random email that mistakenly gets opened, or even whilst opening a website, which gives them access to that machine. The reason for us mentioning this to you is to alert you that once they have gained access, they can monitor email correspondence, without you knowing, throughout a transaction. Then, at a relevant point, e.g. just before the exchange of contracts, they can send an email to a client mirroring that of their solicitor asking for funds to be transferred to a certain bank account. That money then, of course, disappears. Fortunately, we have not had such an instance but, feel it important to highlight the fact that if you do receive an email requesting funds, it is worth checking with the person concerned by phone that it is genuine and the bank details are correct, before sending money. This could, of course, affect other areas of finance beyond the property. Solicitors are starting to highlight this point now, but for safety, we would urge you to be vigilant and check before sending money or passing on any personal details regarding any bank or credit card information.The Property Misdescriptions Act 1991These particulars are set out as a general outline in accordance with the Property Misdescriptions Act (1991) only for the guidance of intending purchasers or lessees and do not constitute any part of an offer or contract. Details are given without any responsibility, and any intending purchasers, lessees or third parties should not rely on them as statements or representations of fact but must satisfy themselves by inspection or otherwise as to the correctness of each of them. We have not carried out a structural survey and the services, appliances and specific fittings have not been tested. All photographs, measurements, floor plans, and distances referred to are given as a guide only and should not be relied upon for the purchase of carpets or any other fixtures or fittings. Gardens, roof terraces, balconies as well as tenure and lease details cannot have their accuracy guaranteed for intending purchasers. Lease details, service charge, ground rent are given as a guide only and should be checked and confirmed by your solicitor. No person in the employment of Galloways has any authority to make any representation or warranty in relation to this property. Purchase prices, rents, or other prices quoted are correct at the date of publication and, unless otherwise stated, exclusive of VAT. Data ProtectionWe retain the copyright in all advertising material used to market this Property.Disclosure of Referral FeesAs well as your obligation to pay Galloway's commission or fees where applicable we may also receive a commission, payment, fee, or other reward or other benefits (known as a Referral Fee) from ancillary service providers for recommending their service to you. We believe you may benefit from using the services of our solicitors, independent financial advisors and surveyors, the Providers, who are known as Lewis Nedas Law, Bargate Murray Solicitors, Hawke Financial Services and MAP Surveyors. Galloways always refer sellers and purchasers to Lewis Nedas Law, Bargate Murray Solicitors. It is your decision whether you choose to deal with the named companies. Should you decide to use Lewis Nedas Law, Bargate Murray Solicitors, you should know that we would receive a referral fee of £180.00 inc VAT from them for recommending you to them. Galloways routinely refer to all potential purchasers and vendors to Hawke Financial Services. It is your decision whether you choose to deal with Hawke Financial Services. In making that decision, you should know that we receive benefits from Hawke Financial Services. The amount depends on the property value and level of mortgage. A share of this fee is received by Galloways, the details of which are available upon request.Galloways offer all of our customers the opportunity to use the services of MAP surveyors. It is your decision whether you choose to deal with MAP surveyors. You should know that Galloways receive a referral fee of £50.00 inc VAT from MAP Surveyors for recommending you to them. You are not under any obligation to use the services of any of the recommended providers, though should you accept our recommendation the provider is expected to pay us the corresponding Referral Fee. The Referral fee is separate from your obligation to pay our own fees or commission.",01/12/2020,"Galloways, Penge",Flat,1,1,0.2 miles,,,,,,1237.857622891354,2004,7,8,FALSE,FALSE,gas,04/12/2020,TRUE
19,https://www.rightmove.co.uk/properties/101647451,500000,"Breakspears Road, London, SE4","Guide Price £500,000-£550,000. A bright and spacious two double bedroom flat for sale on the sought-after Breakspears Road with direct access to a huge private rear garden. This property comprises of a spacious reception room, separate fitted kitchen, family bathroom suite, two double bedrooms, a beautiful private rear garden and two large rooms in the basement, one currently being used as a reception room and the other a music room. Further benefits include gas central heating, an abundance of light, plenty of storage, various period features and so much more. This property is situated approximately just 0.4 miles from Brockley station, offering excellent transport links to London Bridge, Victoria, Canada Water, Shoreditch, Whitechapel, Highbury & Islington and many other locations. It is also very well placed for access to various local amenities including a variety of parks, restaurants, supermarkets, coffee shops, cafes and gastro pubs. Offered chain free. EPC: D. Viewings are highly recommended, call the Pedder Brockley sales team to arrange a viewing today.",04/01/2021,"Pedder, Brockley",Flat,2,1,0.3 miles,,1,SE4,Lewisham,90,906.1190719347852,1998,8,5,FALSE,TRUE,electric,07/03/2021,TRUE
20,https://www.rightmove.co.uk/properties/101434745,1185596.8937170734,"Richmond Road, London, N15","An absolutely stunning three bedroom split level purpose built Edwardian maisonette located on a quiet residential road. This flat has been maintained to an extremely high standard by its present owners and benefits from its own entrance, private rear garden, modern kitchen and bathroom and many original features.Richmond Road is very well located for local shops and transport facilities and is within easy walking distance of Stamford Hill Overground Station with easy access into Liverpool Street and both Seven Sisters Tube Station (Victoria Line) and Manor House Tube Station (Piccadilly Line) are also close by. This property would make an ideal first time buy. Viewing by appointment.",26/12/2020,"Oakwood, Stoke Newington",Flat,3,1,0.2 miles,,,N15,Haringey,105,1331.4088783714515,1960,9,7,FALSE,TRUE,electric,04/04/2021,FALSE
21,https://www.rightmove.co.uk/properties/98873846,600000,"Devonshire Drive, Greenwich London, SE10 8JZ","This spacious three bedroom home with its own garden, with a contemporary finish and neutral decor, including a modern fitted high specification kitchen and a good sized contemporary bathroom, three double bedrooms, the main bedroom benefits from bespoke fitted wardrobes, there is a very spacious lounge and dining area. To the rear of the property you will find a good sized low maintenance garden.Additional benefits includes; double glazing, gas central heating, there is a low ground rent  charge of £10. There is also permit parking available for local residents.Possible future development, plan available upon request.The Ashburnham Triangle is a friendly community focused area and enjoys nearby village shops, independent coffee spots, world famous markets, Gastro pubs and restaurants all within walking distance.There is always something amazing to enjoy, including The Royal Park, The River Thames, The Old Naval College, Royal Maritime Museum, Cutty Sark and more!Greenwich is well served by public transport. The property is centrally located for easy access to Canary Wharf and the City, within 5 minutes away from Greenwich Station. There are two rail stations, Greenwich and Maze Hill, which serve central London, East London and parts of Kent. Greenwich and Cutty Sark stations are part of the Docklands Light Railways (DLR) network. Bus services link Greenwich to a wide choice of areas including Catford, Elephant & Castle, Eltham, New Cross, Waterloo and Woolwich. The Jubilee line stops at North Greenwich, near the O2, which is a short shuttle bus ride from the centre of the town.",04/12/2020,"Felicity J Lord, Greenwich",Flat,3,1,0.3 miles,Leasehold,,,,,1281.8711267359236,1945,5,4,FALSE,FALSE,electric,,FALSE
22,https://www.rightmove.co.uk/properties/76255287,275000,"Gilton Road, London, SE6","A ground floor two double bedroom purpose built apartment for sale in Catford. This is an ideal buy to let investment or first time buy; conveniently located for local schools and within a short walking distance from all the local shops and amenities. The property offers approximately 560 sq/ft of living space and comprises of; a light and spacious living room, two double bedrooms, a tiled three piece bathroom suite and a modern fitted kitchen with direct access to the outside space. Additionally this property benefits from being sold with no onwards chain, gas central heating and double glazing throughout. EPC Grade D IMPORTANT NOTE TO PURCHASERS:We endeavour to make our sales particulars accurate and reliable, however, they do not constitute or form part of an offer or any contract and none is to be relied upon as statements of representation or fact. Any services, systems and appliances listed in this specification have not been tested by us and no guarantee as to their operating ability or efficiency is given. All measurements have been taken as a guide to prospective buyers only, and are not precise. Please be advised that some of the particulars may be awaiting vendor approval. If you require clarification or further information on any points, please contact us, especially if you are traveling some distance to view. Fixtures and fittings other than those mentioned are to be agreed with the seller. CAT200147/2",17/12/2020,"Reeds Rains , Catford",Flat,2,1,0.9 miles,Leasehold,,SE6,Lewisham,90,1129.880471293948,1958,9,8,FALSE,TRUE,electric,03/04/2021,FALSE
